,answered,rank
6212,3306,0.6958564699037872
18332,3751,0.712762511069786
18036,1457,0.7096912519500665
22799,2219,0.6893525307670043
15456,2322,0.6695633809798088
26089,1065,0.7092050668025538
1585,1614,0.6827218530045539
40840,2390,0.5587823253651167
1584,1796,0.5493428417894791
10998,2196,0.5496993603642091
16206,2047,0.5562008745981882
23513,2021,0.5673797237416388
18168,1380,0.5685976039960182
21060,1237,0.5714817158179775
35850,1161,0.5680361514848246
31332,910,0.5751757816843869
10187,1078,0.48037820955702654
36742,1719,0.5256139271170088
28939,767,0.4995351550834342
54289,1767,0.4999258710290179
15381,1594,0.4774135252781931
27375,1396,0.4762686881675408
28689,2537,0.6749550226600127
17720,1517,0.5648781946013446
30597,2961,0.6178429665278543
12400,518,0.6190649447791117
26988,1991,0.6219900315410714
69476,1481,0.6171513531124262
38458,4729,0.6600469276044081
5990,3874,0.6637518782198155
56000,3502,0.6499485061556588
97091,4443,0.5516999412467837
86833,908,0.5987495012790834
62252,382,0.6733414184338742
116327,604,0.6298730368539902
116331,3617,0.5121641874936663
62299,1663,0.5986649254478846
1370,3507,0.5348358990385942
129182,2523,0.5384485383797041
489,2603,0.5503457848268886
505,2174,0.6666452892912222
72160,4069,0.65114963259539
70750,2420,0.6786563501138129
113703,4321,0.6257047735936835
128239,3387,0.5985677738564517
72501,606,0.6394531870892857
8550,3106,0.5580183267530631
129953,679,0.5393546644166566
159247,1736,0.43101356411329905
6523,2105,0.4329632437475065
18938,2235,0.5327069840861798
129955,1728,0.5430584228263434
8372,822,0.5710296619709562
30013,822,0.5710296619709562
30459,945,0.580852641215659
33369,642,0.6068262137869284
54015,36,0.6490729408024519
33620,4270,0.6713720124543375
13857,1405,0.6024544435322634
37836,1486,0.606841579641018
4258,2817,0.5925452266371596
46339,1495,0.5715530693321963
12148,769,0.6044688307967437
91159,1536,0.5298666640568462
32767,1152,0.3406165892024615
8159,1046,0.3369529119205733
67274,898,0.32821338641581715
188876,36,0.6518550237086161
32004,2620,0.6377402362023937
18305,3126,0.6127704889206255
54468,3206,0.6156181249019527
54469,3054,0.6168456421646042
38647,2836,0.6171639726045751
16871,1987,0.6139564968866896
38020,3643,0.5677348123369368
67304,3180,0.5339667612966126
62620,1223,0.5339180065529673
180969,2173,0.5085035001921682
188946,836,0.49023674196067346
188947,788,0.5650787777990547
3645,3378,0.5090109365883233
8044,2083,0.5510480127335841
33099,2955,0.525822177486448
27691,1874,0.5441031589511668
23150,455,0.5256815631559282
4114,744,0.5536521511985086
98626,673,0.5712882767696957
17510,622,0.5358925829278597
29122,233,0.6112046727555984
13449,445,0.5305998174909191
98627,332,0.5323352779783045
8153,396,0.3713514048198108
43686,360,0.3709364513146304
14326,432,0.3840598085630437
97371,396,0.38802727574215384
3386,287,0.42222334118463906
33459,36,0.624084019913598
112125,4120,0.519413093703656
44019,2660,0.5233338358593567
131082,4226,0.5425111889731798
117993,4488,0.43730279359526664
109848,1940,0.5353699505045768
112122,2977,0.4742536710692926
81696,2489,0.6397415963574963
19027,3584,0.6009566796129824
19646,3229,0.60242733873831
63339,3508,0.5931566843843897
16081,4550,0.5959070588494813
23228,3002,0.4512534004456497
112957,3171,0.4677586841544813
32511,1815,0.47614449780028983
17409,377,0.510042279333678
48784,712,0.44669824085455845
21775,370,0.42172182848765416
131910,5674,0.573152122801724
131911,5886,0.577214356668345
147450,8029,0.5710988481724728
131909,5784,0.5729793981813035
171798,6163,0.5743096551185185
149723,6505,0.5867387186746493
104484,3374,0.45586239065566153
46873,1227,0.46613773389976837
93430,506,0.5328049073807758
97261,3725,0.49201786875162545
79295,933,0.47186116674216905
145556,1245,0.511595521070754
54696,3547,0.6259796020758579
75042,2443,0.5775028520747515
24685,1737,0.5764965124627427
3058,1778,0.543511994325527
19407,393,0.49861957976475313
161466,565,0.46982208532594755
188593,3519,0.4686214191080174
188892,2403,0.49676748241650975
188893,1749,0.4879082055480069
188894,36,0.6168215834298054
188895,36,0.6168215834298054
3239,1318,0.5186093384791589
73618,1662,0.4795926418288889
9595,1815,0.457067145593013
53464,1721,0.48001166786889676
3914,1543,0.488632821497913
23444,1758,0.4789082497356768
2322,3491,0.6299502456510349
4875,3196,0.6380914415237345
40391,3215,0.6491332347413761
53126,3220,0.6441822445139661
56748,999,0.6184227347378004
37685,1023,0.5079588513324759
36281,1870,0.5295920237849001
19949,3410,0.5230041066796995
67061,3728,0.5288175963531937
76303,2688,0.5196346400586996
115802,3049,0.5270709271079688
116824,3249,0.5186315090244336
30152,4849,0.7506395660815274
80594,4884,0.5396149285931605
143076,2754,0.580884505113158
1468,1113,0.5607248712422787
13398,1755,0.5083730100863013
35009,3174,0.5822741224993748
111065,3261,0.4913135727224452
132891,2311,0.5818843600528575
115748,2908,0.5027226635760444
37277,2228,0.48571969660366293
132716,1887,0.48649353249473265
4878,1458,0.6497021896106511
68676,3913,0.5171999989066145
14518,3929,0.5608168426021151
140179,1926,0.5404007730461029
161269,691,0.5314834665495904
11993,1083,0.35767407942879426
17024,4367,0.5705151778005645
30180,3183,0.5708845558863942
115772,3644,0.5696158800803546
104732,3813,0.574167888648781
17230,2962,0.5773293705172116
20397,3082,0.5790460390440857
124981,1259,0.49201057094563416
125147,1259,0.49201057094563416
151243,914,0.4889605776795545
125144,256,0.4994159711919137
125618,1151,0.4992878317254055
188880,143,0.5862154480240251
33032,3288,0.6795151962264389
110920,7500,0.6369356343642306
